code	country	areacode	state	GMT	DST	DST_RANGE	GEOGRAPHIC DESCRIPTION	TZ_CODE	PHP_TZ
52	MEX	587	MEX	-6	Y	FSA-LSO	AMECAMECA	CST	America/Mexico_City
52	MEX	588		-6	Y	FSA-LSO	Arana, Los	CST	America/Mexico_City
52	MEX	589	MEX	-6	Y	FSA-LSO	JUCHITEPEC	CST	America/Mexico_City
52	MEX	591		-6	Y	FSA-LSO	Praderas Del Potrero	CST	America/Mexico_City
52	MEX	592		-6	Y	FSA-LSO	Jaltepec	CST	America/Mexico_City
52	MEX	593		-6	Y	FSA-LSO	Coyotepec	CST	America/Mexico_City
52	MEX	594		-6	Y	FSA-LSO	San Marcos Nepantla, Mex.khq	CST	America/Mexico_City
52	MEX	595		-6	Y	FSA-LSO	Texcoco, Mex.edd	CST	America/Mexico_City
52	MEX	596		-6	Y	FSA-LSO	Reyes Acozac, Losr	CST	America/Mexico_City
52	MEX	597		-6	Y	FSA-LSO	Amecameca De Juarezkp	CST	America/Mexico_City
52	MEX	599		-6	Y	FSA-LSO	Apaxco De Ocampoun	CST	America/Mexico_City
52	MEX	612	BCS	-7	Y	FSA-LSO	La Paz, B.C.S.fj	MST	America/Chihuahua
52	MEX	613	BCS	-7	Y	FSA-LSO	Ciudad Constituciona	MST	America/Chihuahua
52	MEX	614	CHIH	-7	Y	FSA-LSO	Chihuahua, Chih.ns	MST	America/Chihuahua
52	MEX	615	BCS	-7	Y	FSA-LSO	Bahia Asuncionnu	MST	America/Chihuahua
52	MEX	616	BC	-8	Y	FSA-LSO	Camalun	PST	America/Tijuana
52	MEX	618		-6	Y	FSA-LSO	Durango, Dgo.tkn	CST	America/Mexico_City
52	MEX	621	CHIH	-7	Y	FSA-LSO	Julimese	MST	America/Chihuahua
52	MEX	622	SON	-7	N		Guaymas, Son.yw	MST	America/Hermosillo
52	MEX	623	SON	-7	N		Aconchi	MST	America/Hermosillo
52	MEX	624	BCS	-7	Y	FSA-LSO	San Jose del Cabo	MST	America/Chihuahua
52	MEX	625	CHIH	-7	Y	FSA-LSO	Ciudad Cuauhtemoc	MST	America/Chihuahua
52	MEX	626	CHIH	-7	Y	FSA-LSO	Manuel Benavidesu	MST	America/Chihuahua
52	MEX	627	CHIH	-7	Y	FSA-LSO	Parral, Chih.	MST	America/Chihuahua
52	MEX	628	CHIH	-7	Y	FSA-LSO	Mariano Matamorosgjt	MST	America/Chihuahua
52	MEX	629	CHIH	-7	Y	FSA-LSO	Ceballoskp	MST	America/Chihuahua
52	MEX	631	SON	-7	N		Nogales, Son.	MST	America/Hermosillo
52	MEX	632	SON	-7	N		Imurisb	MST	America/Hermosillo
52	MEX	633	SON	-7	N		Agua Prietag	MST	America/Hermosillo
52	MEX	634	SON	-7	N		Abanico, Elt	MST	America/Hermosillo
52	MEX	635	CHIH	-7	Y	FSA-LSO	Areponapuchim	MST	America/Chihuahua
52	MEX	636	CHIH	-7	Y	FSA-LSO	Ascensionb	MST	America/Chihuahua
52	MEX	637	SON	-7	N		Altar	MST	America/Hermosillo
52	MEX	638	SON	-7	N		Choya, Latp	MST	America/Hermosillo
52	MEX	639	CHIH	-7	Y	FSA-LSO	Ciudad Delicias, Chih.mfj	MST	America/Chihuahua
52	MEX	641	SON	-7	N		Benjamin Hillnde	MST	America/Hermosillo
52	MEX	642	SON	-7	N		Navojoa, Son.ir	MST	America/Hermosillo
52	MEX	643	SON	-7	N		Agua Blancawmi	MST	America/Hermosillo
52	MEX	644	SON	-7	N		Ciudad Obregon	MST	America/Hermosillo
